Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,02413L,S N NAOMH EOIN,Offaly,Offaly County Council,N,N,Catholic,15,16,23,23,22,20,17,12,,148
2024,02418V,Knockaderry Farranfore National School,Kerry,Kerry County Council,N,N,Catholic,6,,5,5,11,11,10,9,,57
2024,02428B,LACKAMORE N S,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,7,4,3,3,11,5,4,7,,44
2024,02439G,S N MHUIRE,Clare,Clare County Council,N,N,Catholic,8,8,12,11,5,3,6,5,,58
2024,02452V,CLOYNE NATIONAL SCHOOL,Cork,Cork County Council,N,N,Catholic,26,33,33,41,47,36,40,45,,301
2024,02670I,SAN ISADOIR,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,15,18,13,15,11,14,18,12,,116
2024,02745N,TALLONSTOWN N S,Louth,Louth County Council,N,N,Catholic,28,30,32,35,31,43,44,35,,278
2024,02793B,S N MULLACH BUI,Louth,Louth County Council,N,N,Catholic,5,8,9,7,11,7,9,13,,69
2024,02803B,BANTEER N S,Cork,Cork County Council,N,N,Catholic,25,27,12,29,21,29,24,22,,189
2024,02813E,S N SHEANAIN,Limerick,Limerick County Council,N,N,Catholic,11,8,8,15,9,17,15,8,,91
2024,02872U,St. Mary's National School,Dublin,Dun Laoghaire Rathdown,N,N,Catholic,32,29,26,43,26,29,28,31,,244
2024,02889O,S N AN CHLAIS MHOR,Waterford,Waterford County Council,Y,N,Catholic,9,10,14,5,9,10,10,14,,81
2024,02905J,S N NAOMH PADRAIG,Meath,Meath County Council,N,N,Catholic,18,17,25,19,11,21,21,17,,149
2024,02912G,Scoil na gCoillini,Mayo,Mayo County Council,N,N,Catholic,10,18,12,17,11,11,10,11,,100
2024,03132I,S N SLIABH A MHADRA,Kerry,Kerry County Council,N,N,Catholic,10,6,10,12,10,18,24,11,3,104
2024,03220F,MERCY PRIMARY SCHOOL,Offaly,Offaly County Council,Y,N,Catholic,18,14,14,14,20,19,16,18,6,139
