place_id,name,longitude,latitude,country,country_code,state,county,city,district,street,formatted
516d745a33272f534059ae2870e9d0bf4340f00102f901e40fe24e0000000092031ee4bcbde5b888e58ebfe5b7b4e4bb81e99587e7acace59b9be5b08fe5ada6,伽师县巴仁镇第四小学,76.73676761468387,39.498562984242525,China,cn,Xinjiang,Peyziwat County,Térim,,Shengli Road,"The Fourth Primary School of Barin Town, Payzawat County, Shengli Road, Peyziwat County, Xinjiang, China"
5142410b9c2f2d534059f5810adb94be4340f00102f9017b9f232900000000920321e4bcbde5b888e58ebfe4b8ade7ad89e8818ce4b89ae68a80e69cafe5ada6e6a0a1,伽师县中等职业技术学校,76.70603085612404,39.488917713289915,China,cn,Xinjiang,Peyziwat County,Payzawat,,Tuanjie Road,"Payzawat County Secondary Vocational and Technical School, Tuanjie Road, Peyziwat County, Xinjiang, China"
511ac556bf2a2d534059c6a17efce1be4340f00102f901a9081c3900000000920315e4bcbde5b888e58ebfe7acace4ba8ce4b8ade5ada6,伽师县第二中学,76.7057340953219,39.49127155478668,China,cn,Xinjiang,Peyziwat County,Payzawat,,Tuanjie Road,"No.2 Middle School of Payzawat County, Tuanjie Road, Peyziwat County, Xinjiang, China"
5109bb9ec090015340594ade15233aa44340f00102f901b37973570000000092030ce7b2a4e585b5e4b8ade5ada6,粤兵中学,76.02445998669658,39.28302420203961,China,cn,Xinjiang,,Tumxuk City,西湖社区,学府路,"粤兵中学, 学府路, 西湖社区, Xinjiang, China"
51e23da8fd0d0453405909c8413771b74340f00102f901fdfabb370000000092031be59680e4bb80e5b882e8b4bae794b0e5b88ce69c9be5b08fe5ada6,喀什市贺田希望小学,76.06335393361908,39.433142573470896,China,cn,Xinjiang,,Kashgar City,科塔孜托喀依,X420,"喀什市贺田希望小学, X420, Xinjiang, China"
51d66c7b3fc7045340592cb10981e1b34340f00102f9014621c94e0000000092031be7968fe58b92e58ebfe7acace4ba8ce5b88ce69c9be5b08fe5ada6,疏勒县第二希望小学,76.07466113141285,39.4053193375897,China,cn,Xinjiang,Shule County,Shule,,S311,"Shule County No.2 Hope Primary School, S311, Shule County, Xinjiang, China"
510418ec83e406534059657df8b084ba4340f00102f9015367fb3b00000000920321e59680e4bb80e5b882e4b89ce59f8ee7acace585ade5889de7baa7e4b8ade5ada6,喀什市东城第六初级中学,76.10769746833836,39.45717441685955,China,cn,Xinjiang,,Kashgar City,,纬九路南延,"喀什市东城第六初级中学, 纬九路南延, Xinjiang, China"
516de32e3aeb0453405903c9ed39f1bb4340f00102f901eefabb3700000000920321e59680e4bb80e5b882e4b89ce59f8ee7acace4b883e5889de7baa7e4b8ade5ada6,喀什市东城第七初级中学,76.07685713366455,39.46829914198499,China,cn,Xinjiang,,Kashgar City,深喀大道总部经济区,Shenka Avenue,"喀什市东城第七初级中学, Shenka Avenue, Xinjiang, China"
5188356919d9025340595f24f4988fb84340f00102f901fafabb370000000092031be59680e4bb80e5b882e4b89ce59f8ee4b89de8b7afe5b08fe5ada6,喀什市东城丝路小学,76.04450068735434,39.4418822471714,China,cn,Xinjiang,,Kashgar City,,Shenka Avenue,"喀什市东城丝路小学, Shenka Avenue, Xinjiang, China"
51b517f5b1ed04534059d858f2611dd64340f00102f90164dee14e0000000092032de5858be5ad9ce58b92e88b8fe69fafe5b094e5858be5ad9ce887aae6b2bbe5b79ee5ae9ee9aa8ce4b8ade5ada6,克孜勒苏柯尔克孜自治州实验中学,76.07700776038003,39.67277168591835,China,cn,Xinjiang,Artux City,Artux,新城街道 ئاتۇش يېڭى شەھەر / ارتىش جاڭى شاار,锦绣路,"Kizilsu Kirgiz Autonomous Prefecture Experimental Middle School, 锦绣路, 新城街道 ئاتۇش يېڭى شەھەر / ارتىش جاڭى شاار, Artux City, Xinjiang, China"
516ce7d9a9d3525340598948f07bc3d84340f00102f901ff0fe24e0000000092031be58da7e9878ce68998e6a0bce68b89e5858be99587e4b8ade5ada6,卧里托格拉克镇中学,77.29416891364752,39.69346570236764,China,cn,Xinjiang,Peyziwat County,Gholtoghraq,,,"Gholtoghraq Town Middle School, Gholtoghraq, Peyziwat County, China"
515c9c65bdd0655340590a13ebf5e8d54340f00102f901f4be9a3700000000,,77.59086546824386,39.671171893865974,China,cn,Xinjiang,Peyziwat County,嘉禾镇,,Youhao Road,"Youhao Road, Peyziwat County, Xinjiang, China"
5197d371c91b515340596e24877a6e814340f00102f901abab3d4800000000,,77.26732097736236,39.011184040057614,China,cn,Xinjiang,Taxkorgan Tajik Autonomous County,Yopurgha,,S310,"S310, Taxkorgan Tajik Autonomous County, Xinjiang, China"
