Ville,District,Nom_Ecole,Type_Ecole,Statut,Adresse,Telephone
ADANA,ÇUKUROVA,Oğuz Kağan Köksal Görme Engelliler Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Oğuz Kağan Köksal Özel Eğitim Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Oğuzhan Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Piri Reis Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Ramazan Atıl Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Recep Birsin Özen Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Sabancı İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Salbaş Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Salbaş Şehit Yasin Eroğlu İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Salbaş Şehit Zeki Kütük Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şambayadı Şehit İsmet Fatih Alagöz İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Şambayadı Şehit İsmet Fatih Alagöz Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şehit Adem Algın Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Şehit Cafer Kaşan Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Şehit Ebubekir Durmuş Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şehit Enver Buğur Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şehit Kadir Demiryürek Özel Eğitim Uygulama Okulu III. Kademe,Diğer,Public,,
ADANA,ÇUKUROVA,Şehit Muhammet Ali Demir Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şehit Murat Erdem Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Şehit Mustafa Görenoğlu Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Şehit Serhat Sığnak Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Şehit Temel Cingöz Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Şehit Tolga Özdinç İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Şehit Yalçın Palıt Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Şehit Yılmaz Bozkurt Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şehit Zeki Akgünseven Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Selahaddin Eyyubi İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Selcen Hatun Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Semiha Yücel Akdeğirmen İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Semiha Yücel Akdeğirmen Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Seyhan Hacı Hatice Turgut Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Sıtkı Kulak Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Şoför ve Otomobilciler Odası Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Sungurbey Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,TOKİ Şehit Bahattin Kalaycı İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,TOKİ Şehit Bahattin Kalaycı Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Vakıfbank Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Vehbi Güzel Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Vehbi Güzel Kız Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Yaşar Rukiye Kısacık Anadolu İmam Hatip Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Yunus Emre İlkokulu,İlkokul,Public,,
ADANA,FEKE,Ali Kuşçu İlkokulu,İlkokul,Public,,
ADANA,FEKE,Bahçecik İlkokulu,İlkokul,Public,,
ADANA,FEKE,Çandırlar Bekirhacılı İlkokulu,İlkokul,Public,,
ADANA,FEKE,Çandırlar İlkokulu,İlkokul,Public,,
ADANA,FEKE,Feke Halk Eğitimi Merkezi,Diğer,Public,,
ADANA,FEKE,Feke İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,FEKE Öğretmenevi ve Akşam Sanat Okulu,Diğer,Public,,
ADANA,FEKE,Feke Şehit Yeter Şener Anadolu İmam Hatip Lisesi,Lise,Public,,
ADANA,FEKE,Gaffaruşağı İlkokulu,İlkokul,Public,,
ADANA,FEKE,Gedikli İlkokulu,İlkokul,Public,,
ADANA,FEKE,Gürümze İlkokulu,İlkokul,Public,,
ADANA,FEKE,Hıdıruşağı İlkokulu,İlkokul,Public,,
ADANA,FEKE,Kaleyüzü İlkokulu,İlkokul,Public,,
ADANA,FEKE,Karacaoğlan İlkokulu,İlkokul,Public,,
ADANA,FEKE,Karacaoğlan Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,Kırıkuşağı İlkokulu,İlkokul,Public,,
ADANA,FEKE,Kovukçınar İlkokulu,İlkokul,Public,,
ADANA,FEKE,Lütfiye Ayşe Baytok Yatılı Bölge Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,Mansurlu İnderesi İlkokulu,İlkokul,Public,,
ADANA,FEKE,Musalar İlkokulu,İlkokul,Public,,
ADANA,FEKE,Ormancık İlkokulu,İlkokul,Public,,
ADANA,FEKE,Ormancık Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,Oruçlu İlkokulu,İlkokul,Public,,
ADANA,FEKE,Oruçlu Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,Paşalı Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,Şahmuratlı İlkokulu,İlkokul,Public,,
ADANA,FEKE,Şehit Koray Özel Anadolu Lisesi,Lise,Public,,
ADANA,FEKE,Süphandere İlkokulu,İlkokul,Public,,
ADANA,FEKE,Süphandere Ortaokulu,Ortaokul,Public,,
ADANA,FEKE,Tokmanaklı İlkokulu,İlkokul,Public,,
