codigo_escola_dgeec,nome_escola,municipio,distrito,nuts_III,nuts_II,source_donnees,total_alunos_2022_23,alunos_1ano_2022_23,alunos_2ano_2022_23,alunos_3ano_2022_23,alunos_4ano_2022_23,taxa_retencao_media_2022_23,alunos_2ciclo_2019_2020_5ano,alunos_2ciclo_2019_2020_6ano,alunos_2ciclo_2020_2021_5ano,alunos_2ciclo_2020_2021_6ano,alunos_2ciclo_2021_2022_5ano,alunos_2ciclo_2021_2022_6ano,alunos_2ciclo_2022_2023_5ano,alunos_2ciclo_2022_2023_6ano,pct_2ciclo_homens,pct_2ciclo_mulheres,total_alunos_2ciclo,retencao_2ciclo_5ano_2022_23,retencao_2ciclo_6ano_2022_23,conclusao_2ciclo_n_amostra,conclusao_2ciclo_pct_escola,conclusao_2ciclo_pct_nat_comparable
1506961,"Escola Básica de Sarilhos Pequenos, Moita",Moita,,,,1er_cycle_uniquement,36.0,8.0,8.0,8.0,12.0,0.0325,,,,,,,,,,,,,,,,
1507001,"Escola Básica do Esteval, Montijo",Montijo,,,,1er_et_2eme_cycle,110.0,25.0,24.0,20.0,41.0,0.0,256,270,261,259,253,260,278,270,0.5,0.5,548,0.009999999776482582,0.029999999329447746,243,0.9711934156378601,0.9578501128727412
1507017,"Escola Básica da Lançada, Hortinha, Montijo",Montijo,,,,1er_cycle_uniquement,24.0,3.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1507043,"Escola Básica da Rosa dos Ventos, Afonsoeiro, Montijo",Montijo,,,,1er_cycle_uniquement,151.0,46.0,43.0,41.0,21.0,0.005,,,,,,,,,,,,,,,,
1507067,"Escola Básica de Pegões Cruzamento, Pegões, Montijo",Montijo,,,,1er_cycle_uniquement,36.0,0.0,0.0,19.0,17.0,0.11,,,,,,,,,,,,,,,,
1507098,"Escola Básica de Craveira do Norte, Montijo",Montijo,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1507140,"Escola Básica de Caneira, Montijo",Montijo,,,,1er_cycle_uniquement,187.0,48.0,46.0,44.0,49.0,0.015,,,,,,,,,,,,,,,,
1507152,"Escola Básica Ary dos Santos, Montijo",Montijo,,,,1er_cycle_uniquement,194.0,49.0,49.0,49.0,47.0,0.01,,,,,,,,,,,,,,,,
1507242,"Escola Básica Joaquim de Almeida, Montijo",Montijo,,,,1er_cycle_uniquement,241.0,67.0,59.0,52.0,63.0,0.0425,,,,,,,,,,,,,,,,
1507282,"Escola Básica do Alto Estanqueiro, Montijo",Montijo,,,,1er_cycle_uniquement,93.0,24.0,25.0,24.0,20.0,0.0,,,,,,,,,,,,,,,,
1507305,"Escola Básica de Jardia, Montijo",Montijo,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1507343,"Escola Básica de Foros da Craveira do Norte, Afonsos, Montijo",Montijo,,,,1er_cycle_uniquement,29.0,5.0,17.0,1.0,6.0,0.38,,,,,,,,,,,,,,,,
1507453,"Escola Básica de Areias, Montijo",Montijo,,,,1er_cycle_uniquement,215.0,50.0,44.0,64.0,57.0,0.01,,,,,,,,,,,,,,,,
1507464,"Escola Básica de Foros do Trapo, Montijo",Montijo,,,,1er_cycle_uniquement,39.0,11.0,11.0,9.0,8.0,0.0325,,,,,,,,,,,,,,,,
1507499,"Escola Básica Luís de Camões, Montijo",Montijo,,,,1er_cycle_uniquement,179.0,45.0,43.0,53.0,38.0,0.0075,,,,,,,,,,,,,,,,
1507558,"Escola Básica de Sarilhos Grandes, Montijo",Montijo,,,,1er_cycle_uniquement,94.0,23.0,24.0,24.0,23.0,0.01,,,,,,,,,,,,,,,,
1507628,"Escola Básica de Afonsoeiro, Montijo",Montijo,,,,1er_cycle_uniquement,188.0,47.0,55.0,49.0,37.0,0.0075,,,,,,,,,,,,,,,,
1507671,O Girassol - Escola Padre Manuel Gonçalves,Montijo,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1507675,"Escola Básica de Pegões, Canha e Santo Isidro, Montijo",Montijo,,,,2eme_cycle_uniquement,,,,,,,54,65,59,54,58,63,57,64,0.55,0.45,121,0.03999999910593033,0.029999999329447746,58,0.9655172413793104,0.9520192810880042
1507690,Colégio CdD - Secção,Montijo,,,,1er_et_2eme_cycle,83.0,24.0,25.0,10.0,24.0,0.0,0,0,0,0,0,0,19,13,0.5900000000000001,0.41,32,0,0,,,
1507774,"Escola Básica de Pegões Velhos, Montijo",Montijo,,,,1er_cycle_uniquement,25.0,5.0,6.0,8.0,6.0,0.115,,,,,,,,,,,,,,,,
1507782,"Escola Básica D. Pedro Varela, Montijo",Montijo,,,,2eme_cycle_uniquement,,,,,,,240,264,272,268,274,294,264,308,0.55,0.45,572,0.07000000029802322,0.11999999731779099,248,0.8870967741935484,0.9546123308568383
